,PMCID,Plant,Compound,TPS nomenclature,,,,,,LINK
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7497057/ PMC7497057,PMC7497057,Setaria italica,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7497057/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7497057/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7180759/ PMC7180759,PMC7180759,Clematis florida,Yes,Yes,table,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7180759/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7180759/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7125107/ PMC7125107,PMC7125107,Litsea cubeba,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7125107/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7125107/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7230838/ PMC7230838,PMC7230838,Osmanthus fragrans,Yes,not mentioned,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7230838/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7230838/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7154873/ PMC7154873,PMC7154873,Salvia hispanica,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7154873/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7154873/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7062797/ PMC7062797,PMC7062797,Camellia sinensis,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7062797/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7062797/ 
https://doi.org/10.1104/pp.20.00186 PMID: 32184346,PMID: 32184346,Actinidia chinensis,Yes,Yes,,[PMC](https://doi.org/10.1104/pp.20.00186  ),, ),[PMC](,https://doi.org/10.1104/pp.20.00186 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7067565/ PMC7067565,PMC7067565,,not mentioned,not mentioned,"A. thaliana,_E. coli,",[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7067565/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7067565/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072466/ PMC7072466,PMC7072466,Camellia sinensis,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072466/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072466/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7029581/ PMC7029581,PMC7029581,Matricaria recutita_(German chamomile) and_Chamaemelum nobile_,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7029581/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7029581/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6986057/ PMC6986057,PMC6986057,Vitis vinifera,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6986057/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6986057/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6986037/ PMC6986037,PMC6986037,Zanthoxylum armatum,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6986037/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6986037/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6976640/ PMC6976640,PMC6976640,Camellia sinensis,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6976640/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6976640/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7013532/ PMC7013532,PMC7013532,Camellia sinensis,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7013532/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7013532/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7422722/ PMC7422722,PMC7422722,Solanum lycopersicum,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7422722/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7422722/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6941427/ PMC6941427,PMC6941427,Camellia sinensis,Yes,no,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6941427/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6941427/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6945444/ PMC6945444,PMC6945444,citrus,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6945444/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6945444/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7015852/ PMC7015852,PMC7015852,N. colorata,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7015852/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7015852/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6902781/ PMC6902781,PMC6902781,,Yes,Yes,Physarum polycephalum,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6902781/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6902781/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6941020/ PMC6941020,PMC6941020,Cinnamomum porrectum.,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6941020/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6941020/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6995508/ PMC6995508,PMC6995508,Camellia sinensis,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6995508/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6995508/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7206992/ PMC7206992,PMC7206992,Coriandrum sativum,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7206992/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7206992/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6804824/ PMC6804824,PMC6804824,Lilium,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6804824/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6804824/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6796385/ PMC6796385,PMC6796385,Chilo auricilius,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6796385/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6796385/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6761604/ PMC6761604,PMC6761604,Panicum virgatum,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6761604/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6761604/ 
